Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C8",C_Disc_D5.0mm_W2.5mm_P2.50mm,3,2n,
"C10, C13, C3",C_Disc_D5.0mm_W2.5mm_P2.50mm,3,0.47u,
"C12, C14, C15, C2, C4, C5, C6, C7, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,9,0.1u,
DIFFEQ_F_OUT,SolderWire-0.5sqmm_1x03_P4.8mm_D0.9mm_OD2.3mm,1,X    -Y    Z,
GND  3-5.5V,SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm,1,Power_In,
"R1, R2, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,100k,
"R10, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,33k,
R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,22k,
R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,470,
R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,47,
"R4, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,10k,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2.2k,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1M,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,220k,
SW1,DIP-18_W7.62mm_Socket,1,SW_DIP_x09,
U1,DIP-14_W7.62mm,1,TL074,
"U2, U3",DIP-8_W7.62mm,2,AD633JN,
U4,TPS65131,1,TPS65131,
