Designator,Mid X,Mid Y,Rotation,Layer
C1,113.9,-99.25,270.0,top
C10,129.6,-84.15,270.0,top
C11,114.2,-91.65,270.0,top
C12,121.7,-91.35,270.0,top
C13,129.6,-91.45,270.0,top
C14,121.6,-107.45,270.0,top
C15,112.9,-107.55,270.0,top
C2,121.7,-99.55,270.0,top
C3,129.2,-99.45,270.0,top
C4,114.0,-69.25,270.0,top
C5,114.0,-76.55,270.0,top
C6,120.55,-114.6,0.0,top
C7,112.85,-114.6,0.0,top
C8,114.1,-84.35,270.0,top
C9,121.8,-84.25,270.0,top
DIFFEQ_F_OUT,154.1,-63.8,270.0,top
GND  3-5.5V,116.8,-125.5,0.0,top
R1,85.0,-79.22,90.0,top
R10,73.68,-103.6,0.0,top
R11,73.72,-110.5,180.0,top
R12,89.58,-117.0,0.0,top
R13,89.38,-124.2,0.0,top
R2,92.0,-79.18,270.0,top
R3,91.9,-93.72,90.0,top
R4,85.0,-93.58,270.0,top
R5,91.9,-107.68,270.0,top
R6,84.8,-107.42,90.0,top
R7,78.5,-120.82,90.0,top
R8,73.68,-89.0,0.0,top
R9,73.92,-96.4,180.0,top
SW1,141.89,-65.94,180.0,top
U1,103.31,-90.72,0.0,top
U2,103.31,-71.71,0.0,top
U3,103.31,-109.61,0.0,top
U4,143.0,-119.2,270.0,top
