time	V(x)	V(z)	-V(yn)
0.000000000000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
9.999999717180685e-10	9.999999e-01	1.003933e+00	1.008021e+00
1.999999943436137e-09	9.999999e-01	1.007634e+00	1.015567e+00
3.999999886872274e-09	9.999998e-01	1.014599e+00	1.029768e+00
7.999999773744548e-09	9.999996e-01	1.026195e+00	1.053413e+00
1.599999954748910e-08	9.999994e-01	1.042400e+00	1.086457e+00
2.640029814041563e-08	9.999993e-01	1.054289e+00	1.110698e+00
3.824281231998264e-08	9.999993e-01	1.060932e+00	1.124244e+00
5.073750544003637e-08	9.999993e-01	1.064093e+00	1.130690e+00
6.627612267046841e-08	9.999995e-01	1.065698e+00	1.133963e+00
8.590122208437685e-08	9.999998e-01	1.066341e+00	1.135275e+00
1.136170369577372e-07	1.000000e+00	1.066528e+00	1.135658e+00
1.535961261616847e-07	1.000001e+00	1.066546e+00	1.135696e+00
2.218773272727395e-07	1.000002e+00	1.066549e+00	1.135704e+00
3.533353551139687e-07	1.000003e+00	1.066560e+00	1.135728e+00
5.865825231092732e-07	1.000007e+00	1.066579e+00	1.135765e+00
8.304147009213121e-07	1.000010e+00	1.066599e+00	1.135807e+00
1.156955564984787e-06	1.000014e+00	1.066624e+00	1.135861e+00
1.810037293111738e-06	1.000023e+00	1.066677e+00	1.135970e+00
2.858850708331518e-06	1.000037e+00	1.066761e+00	1.136145e+00
4.956477538771078e-06	1.000066e+00	1.066929e+00	1.136496e+00
9.151731199650198e-06	1.000123e+00	1.067266e+00	1.137195e+00
1.754223852140844e-05	1.000239e+00	1.067941e+00	1.138596e+00
3.432325316492491e-05	1.000473e+00	1.069293e+00	1.141394e+00
6.788528245195788e-05	1.000955e+00	1.072011e+00	1.146986e+00
1.350093410260238e-04	1.001969e+00	1.077502e+00	1.158144e+00
2.692574581741556e-04	1.004200e+00	1.088706e+00	1.180364e+00
5.377536924704193e-04	1.009450e+00	1.112008e+00	1.224416e+00
1.074746161062947e-03	1.022956e+00	1.162282e+00	1.311006e+00
2.074746161062947e-03	1.057806e+00	1.269623e+00	1.466763e+00
3.074746161062947e-03	1.103798e+00	1.395956e+00	1.614696e+00
4.074746161062947e-03	1.159044e+00	1.542702e+00	1.753081e+00
5.074746161062947e-03	1.221621e+00	1.710942e+00	1.879138e+00
6.074746161062947e-03	1.289476e+00	1.901069e+00	1.989063e+00
7.074746161062947e-03	1.360347e+00	2.112422e+00	2.078188e+00
8.074746161062947e-03	1.431715e+00	2.342919e+00	2.141256e+00
9.074746161062946e-03	1.500795e+00	2.588746e+00	2.172870e+00
1.007474616106295e-02	1.564575e+00	2.844183e+00	2.168099e+00
1.107474616106295e-02	1.619916e+00	3.101657e+00	2.123214e+00
1.207474616106295e-02	1.663716e+00	3.352098e+00	2.036431e+00
1.307474616106295e-02	1.693124e+00	3.585619e+00	1.908563e+00
1.407474616106295e-02	1.705774e+00	3.792479e+00	1.743353e+00
1.507474616106295e-02	1.700023e+00	3.964172e+00	1.547417e+00
1.607474616106295e-02	1.675122e+00	4.094438e+00	1.329700e+00
1.707474616106295e-02	1.631312e+00	4.179981e+00	1.100544e+00
1.807474616106295e-02	1.569810e+00	4.220723e+00	8.705220e-01
1.907474616106295e-02	1.492677e+00	4.219566e+00	6.493136e-01
2.007474616106296e-02	1.402618e+00	4.181742e+00	4.447968e-01
